Agency_Text,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,ScaleSet_ID,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,Screening_Date,RecSupervisionLevel,Scale_ID,ScoreText
PRETRIAL,1,Caucasian,2803283990.0,22,Intake,English,Pretrial,Jail Inmate,Single,1413518483.0,1,8,Low
PRETRIAL,0,Caucasian,359278438.0,22,Intake,English,Pretrial,Jail Inmate,Single,1384721205.0,1,8,Low
PRETRIAL,0,Caucasian,262762185.0,22,Intake,English,Pretrial,Jail Inmate,Married,1405527340.0,1,8,Medium
PRETRIAL,1,Hispanic,3007438075.0,22,Intake,English,Pretrial,Jail Inmate,Single,1382888566.0,1,8,Low
PRETRIAL,1,Other,411034333.0,22,Intake,English,Pretrial,Jail Inmate,Married,1369525809.0,1,8,Low
PRETRIAL,0,African-American,686157235.0,22,Intake,English,Pretrial,Jail Inmate,Single,1383261032.0,3,8,High
PRETRIAL,1,Hispanic,2810768511.0,22,Intake,English,Post Sentence,Probation,Single,1366744016.0,1,8,Low
Probation,1,Hispanic,2764326934.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1375873871.0,1,8,Low
Probation,1,Caucasian,2871480806.0,22,Intake,English,Post Sentence,Probation,Married,1376809941.0,1,8,Low
PRETRIAL,0,African-American,571944836.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1361582010.0,3,8,Medium
Probation,0,Oriental,3229543991.0,22,Intake,English,Post Sentence,Probation,Single,1372245853.0,1,8,Low
PRETRIAL,1,African-American,284194398.0,22,Intake,English,Post Sentence,Probation,Single,1398457654.0,1,8,Low
PRETRIAL,1,African-American,2886431492.0,22,Intake,English,Pretrial,Jail Inmate,Single,1388332573.0,2,8,Low
Probation,1,Caucasian,736474999.0,22,Intake,English,Other,Probation,Married,1390772449.0,1,8,Low
PRETRIAL,1,African-American,3004821796.0,22,Intake,English,Pretrial,Jail Inmate,Single,1404772789.0,3,8,High
Probation,0,Native American,493109701.0,22,Intake,English,Post Sentence,Probation,Single,1394776232.0,1,8,Low
PRETRIAL,0,Caucasian,3103682794.0,22,Intake,English,Pretrial,Jail Inmate,Significant Other,1359084868.0,1,8,Low
Probation,1,Caucasian,2838700229.0,22,Intake,Spanish,Post Sentence,Probation,Divorced,1404891579.0,1,8,Low
PRETRIAL,1,African-American,689125373.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1365310745.0,4,8,High
PRETRIAL,0,Other,637231139.0,22,Intake,English,Other,Probation,Single,1410611304.0,1,8,Low
PRETRIAL,1,Hispanic,594459821.0,22,Intake,English,Post Sentence,Probation,Single,1396017648.0,1,8,Low
Probation,1,Caucasian,2777497892.0,22,Intake,English,Pretrial,Jail Inmate,Single,1392184710.0,1,8,Low
PRETRIAL,1,Hispanic,196912688.0,22,Intake,English,Pretrial,Jail Inmate,Single,1391283750.0,1,8,Low
Probation,1,African-American,138923437.0,22,Intake,English,Post Sentence,Probation,Divorced,1358146626.0,1,8,Medium
PRETRIAL,0,African-American,650080833.0,22,Intake,English,Pretrial,Jail Inmate,Single,1383797419.0,4,8,High
PRETRIAL,1,African-American,2888697704.0,22,Intake,English,Pretrial,Jail Inmate,Single,1366250258.0,1,8,Low
PRETRIAL,1,African-American,904551074.0,22,Intake,English,Pretrial,Jail Inmate,Single,1412928479.0,4,8,High
Probation,0,African-American,459005308.0,22,Intake,Spanish,Other,Probation,Single,1363898838.0,1,8,Low
PRETRIAL,0,African-American,686562415.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1387031857.0,1,8,Low
PRETRIAL,1,African-American,2604469459.0,22,Intake,English,Pretrial,Jail Inmate,Single,1405539107.0,1,8,Low
Probation,1,Hispanic,3210497562.0,22,Intake,Spanish,Post Sentence,Probation,Separated,1406194210.0,1,8,Low
PRETRIAL,1,African-American,412523659.0,22,Intake,English,Pretrial,Jail Inmate,Single,1419766702.0,3,8,High
DRRD,0,Oriental,527045696.0,22,Intake,English,Post Sentence,Parole,Unknown,1378776728.0,4,8,High
Probation,0,Hispanic,2802847273.0,22,Intake,English,Post Sentence,Probation,Divorced,1378094719.0,1,8,Low
Probation,1,African-American,221403248.0,22,Intake,Spanish,Post Sentence,Probation,Single,1397981377.0,4,8,High
Probation,0,Hispanic,534514143.0,22,Intake,English,Other,Probation,Single,1374577268.0,1,8,Low
PRETRIAL,0,Caucasian,512009766.0,22,Intake,English,Pretrial,Jail Inmate,Single,1390601589.0,1,8,Low
PRETRIAL,1,African-American,220314735.0,22,Intake,English,Pretrial,Jail Inmate,Single,1397280082.0,2,8,Medium
PRETRIAL,0,African-American,660312559.0,22,Intake,English,Pretrial,Jail Inmate,Single,1410543391.0,4,8,High
PRETRIAL,1,African-American,690409775.0,22,Intake,English,Pretrial,Jail Inmate,Single,1405433282.0,2,8,Medium
PRETRIAL,1,Caucasian,645390697.0,22,Intake,English,Conditional Release,Jail Inmate,Single,1364405391.0,2,8,High
Probation,1,African-American,787247981.0,22,Intake,English,Post Sentence,Probation,Single,1377911849.0,2,8,Medium
PRETRIAL,1,Caucasian,3153583192.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1389287353.0,1,8,Low
Probation,1,Caucasian,380699687.0,22,Intake,English,Post Sentence,Probation,Single,1404660221.0,1,8,Medium
PRETRIAL,0,African-American,3227730455.0,22,Intake,English,Pretrial,Jail Inmate,Married,1358995254.0,1,8,Low
Probation,0,Oriental,2568174414.0,17,Intake,English,Post Sentence,Probation,Single,1402247014.0,1,8,Low
PRETRIAL,1,African-American,140403218.0,22,Intake,English,Pretrial,Jail Inmate,Single,1360963400.0,4,8,High
Probation,1,African-American,2770306815.0,22,Intake,English,Post Sentence,Probation,Divorced,1372954429.0,1,8,Low
PRETRIAL,1,African-American,895705176.0,22,Intake,English,Pretrial,Jail Inmate,Single,1407324589.0,3,8,High
PRETRIAL,1,African-American,745275895.0,22,Intake,English,Post Sentence,Jail Inmate,Single,1368468537.0,2,8,Low
PRETRIAL,1,African-American,2468128394.0,22,Intake,English,Pretrial,Jail Inmate,Single,1370391020.0,4,8,High
Probation,1,Caucasian,267947460.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1383134260.0,1,8,Low
PRETRIAL,0,Other,587445104.0,22,Intake,English,Pretrial,Jail Inmate,Married,1372808067.0,1,8,Low
PRETRIAL,0,African-American,684879286.0,22,Intake,English,Post Sentence,Probation,Married,1406717600.0,3,8,High
Probation,1,African-American,1450239971.0,22,Intake,English,Post Sentence,Probation,Single,1402281632.0,4,8,Low
Broward County,0,African-American,2446484130.0,17,Intake,English,Pretrial,Residential Program,Divorced,1392136502.0,2,8,Low
PRETRIAL,1,African-American,169720966.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1407034545.0,1,8,Low
PRETRIAL,1,Hispanic,569859524.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1401726382.0,1,8,Low
PRETRIAL,1,Caucasian,733616462.0,22,Intake,English,Pretrial,Jail Inmate,Single,1385690358.0,3,8,High
Probation,1,Caucasian,898587662.0,22,Intake,English,Post Sentence,Probation,Separated,1359460059.0,2,8,Low
PRETRIAL,1,Hispanic,692642441.0,22,Intake,English,Pretrial,Jail Inmate,Single,1394050336.0,2,8,Medium
PRETRIAL,1,Caucasian,591655157.0,22,Intake,English,Pretrial,Jail Inmate,Single,1382314828.0,1,8,Low
PRETRIAL,1,Caucasian,217696812.0,22,Intake,English,Pretrial,Jail Inmate,Single,1382788808.0,1,8,Low
PRETRIAL,1,African-American,1617375025.0,22,Intake,Spanish,Pretrial,Jail Inmate,Single,1387566021.0,3,8,High
PRETRIAL,0,Caucasian,3070512586.0,22,Intake,English,Pretrial,Jail Inmate,Single,1398268478.0,1,8,Low
PRETRIAL,1,African-American,598990988.0,22,Intake,English,Pretrial,Jail Inmate,Single,1393950704.0,1,8,Low
PRETRIAL,1,African-American,586476120.0,22,Intake,English,Pretrial,Jail Inmate,Single,1377980611.0,3,8,High
PRETRIAL,0,Hispanic,724755191.0,22,Intake,English,Post Sentence,Probation,Single,1380083978.0,1,8,Low
PRETRIAL,1,African-American,297011193.0,22,Intake,English,Pretrial,Jail Inmate,Single,1406952531.0,1,8,High
PRETRIAL,1,Caucasian,222917573.0,22,Intake,English,Pretrial,Jail Inmate,Single,1419723726.0,1,8,Medium
PRETRIAL,1,African-American,676334396.0,22,Intake,English,Pretrial,Jail Inmate,Single,1401387664.0,4,8,High
Broward County,1,Caucasian,2750196246.0,22,Intake,English,Pretrial,Pretrial Defendant,Divorced,1394270113.0,1,8,Low
PRETRIAL,1,Hispanic,575137210.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1363451051.0,1,8,Low
PRETRIAL,1,Hispanic,3162467375.0,22,Intake,English,Pretrial,Jail Inmate,Single,1387466100.0,1,8,Low
DRRD,0,Native American,2292835301.0,17,Intake,Spanish,Pretrial,Jail Inmate,Single,1409142319.0,2,8,Medium
PRETRIAL,1,African-American,3142602200.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1357393265.0,1,8,Low
PRETRIAL,1,African-American,634366515.0,22,Intake,English,Pretrial,Jail Inmate,Single,1357714216.0,1,8,Low
Probation,1,African-American,3091708865.0,22,Intake,English,Post Sentence,Probation,Single,1404439556.0,1,8,Low
Probation,1,African-American,336482857.0,22,Intake,English,Post Sentence,Probation,Divorced,1407926130.0,1,8,Low
PRETRIAL,1,African-American,570535531.0,22,Intake,English,Post Sentence,Probation,Married,1379782352.0,1,8,Low
PRETRIAL,1,Caucasian,773239345.0,22,Intake,English,Pretrial,Jail Inmate,Single,1411063160.0,3,8,Medium
Probation,1,African-American,307107061.0,22,Intake,English,Post Sentence,Probation,Single,1390224606.0,1,8,Low
PRETRIAL,1,Caucasian,709662481.0,22,Intake,English,Pretrial,Jail Inmate,Separated,1360977774.0,2,8,Medium
PRETRIAL,1,Caucasian,291151278.0,22,Intake,English,Pretrial,Jail Inmate,Divorced,1361880373.0,1,8,Low
PRETRIAL,1,Caucasian,2899099655.0,22,Intake,English,Pretrial,Jail Inmate,Single,1419653533.0,1,8,Low
PRETRIAL,1,African-American,585383436.0,22,Intake,English,Pretrial,Jail Inmate,Single,1368609976.0,1,8,Medium
PRETRIAL,1,African-American,526085481.0,22,Intake,English,Pretrial,Jail Inmate,Single,1389115240.0,1,8,Low
PRETRIAL,1,Caucasian,3073722498.0,22,Intake,English,Other,Jail Inmate,Single,1382607352.0,2,8,Medium
Probation,1,Caucasian,446010079.0,22,Intake,English,Post Sentence,Probation,Single,1415964129.0,1,8,Low
PRETRIAL,1,Other,226423023.0,22,Intake,Spanish,Deferred Sentencing,Pretrial Defendant,Single,1379775302.0,1,8,Medium
PRETRIAL,1,Hispanic,2904223267.0,22,Intake,English,Pretrial,Jail Inmate,Single,1400557812.0,1,8,Low
Probation,1,Caucasian,690457416.0,22,Intake,English,Post Sentence,Probation,Divorced,1369301551.0,1,8,Low
PRETRIAL,1,Caucasian,503524220.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1418778901.0,1,8,Low
Probation,1,African-American,2393603962.0,22,Intake,English,Post Sentence,Probation,Single,1361039722.0,2,8,Medium
PRETRIAL,1,African-American,754290965.0,22,Intake,English,Pretrial,Jail Inmate,Single,1389299785.0,1,8,Low
Probation,1,African-American,447539830.0,22,Intake,English,Post Sentence,Probation,Divorced,1384021020.0,1,8,Low
Probation,1,Caucasian,445211648.0,22,Intake,English,Post Sentence,Probation,Single,1398255309.0,1,8,Low
Probation,1,African-Am,751216492.0,22,Intake,English,Post Sentence,Probation,Single,1370902874.0,3,8,High
PRETRIAL,0,Caucasian,155415954.0,22,Intake,English,Post Sentence,Probation,Single,1397414048.0,1,8,Low
Probation,1,Caucasian,619130075.0,22,Intake,English,Post Sentence,Probation,Single,1371394349.0,1,8,Low
PRETRIAL,1,African-American,632806977.0,22,Intake,English,Pretrial,Jail Inmate,Single,1359117653.0,1,8,Low
PRETRIAL,1,Hispanic,568142504.0,22,Intake,English,Pretrial,Jail Inmate,Single,1387017658.0,1,8,Low
PRETRIAL,1,Caucasian,3114175082.0,22,Intake,English,Pretrial,Jail Inmate,Single,1360576888.0,1,8,Low
Probation,0,African-American,603176159.0,22,Intake,English,Post Sentence,Probation,Single,1409292609.0,4,8,High
PRETRIAL,1,Hispanic,3033492346.0,22,Intake,English,Pretrial,Jail Inmate,Single,1418561433.0,1,8,Low
Probation,1,Hispanic,615596518.0,22,Intake,English,Pretrial,Jail Inmate,Single,1382145401.0,1,8,Low
Probation,1,Caucasian,2849564077.0,22,Intake,English,Post Sentence,Probation,Divorced,1390103394.0,1,8,Low
PRETRIAL,1,African-American,161073655.0,22,Intake,English,Post Sentence,Probation,Single,1366336687.0,1,8,Low
PRETRIAL,1,Caucasian,1017223121.0,22,Intake,Spanish,Pretrial,Pretrial Defendant,Single,1360076086.0,1,8,Low
PRETRIAL,1,Hispanic,181501071.0,22,Intake,English,Other,Pretrial Defendant,Single,1382928661.0,1,8,Low
Probation,1,Caucasian,470248982.0,22,Intake,English,Post Sentence,Probation,Single,1371305769.0,1,8,Low
Probation,1,Caucasian,836830741.0,22,Intake,English,Post Sentence,Probation,Single,1416317663.0,2,8,Medium
PRETRIAL,1,African-American,2814766277.0,22,Intake,English,Other,Probation,Married,1362611095.0,1,8,Low
Probation,1,Caucasian,299937805.0,22,Intake,English,Post Sentence,Probation,Single,1396154906.0,1,8,Low
PRETRIAL,1,Caucasian,3122264018.0,22,Intake,English,Pretrial,Jail Inmate,Single,1419924772.0,2,8,Medium
Probation,1,Caucasian,3155575410.0,22,Intake,English,Post Sentence,Probation,Widowed,1395182411.0,2,8,Medium
PRETRIAL,1,Hispanic,2549559775.0,22,Intake,English,Post Sentence,Probation,Single,1412277110.0,1,8,Low
PRETRIAL,0,African-American,715015713.0,22,Intake,English,Pretrial,Jail Inmate,Single,1360355158.0,3,8,High
PRETRIAL,1,African-American,416288330.0,22,Intake,English,Pretrial,Jail Inmate,Married,1399428707.0,2,8,Medium
PRETRIAL,1,African-American,586719240.0,22,Intake,English,Pretrial,Jail Inmate,Single,1366579680.0,1,8,Low
PRETRIAL,1,African-American,626313878.0,22,Intake,English,Post Sentence,Probation,Single,1391952760.0,2,8,Medium
Probation,1,Asian,1494631543.0,17,Intake,Spanish,Post Sentence,Probation,Single,1358247026.0,4,8,High
PRETRIAL,1,African-American,436519723.0,22,Intake,English,Pretrial,Jail Inmate,Single,1366201570.0,2,8,Medium
PRETRIAL,1,African-American,766524612.0,22,Intake,English,Pretrial,Jail Inmate,Single,1364664217.0,4,8,High
PRETRIAL,1,Hispanic,3230813926.0,22,Intake,English,Pretrial,Jail Inmate,Single,1401451925.0,1,8,Low
PRETRIAL,1,Oriental,1679677724.0,22,Intake,Spanish,Pretrial,Jail Inmate,Single,1416520104.0,4,8,High
Probation,0,African-American,3178131652.0,22,Intake,Spanish,Post Sentence,Probation,Single,1382017654.0,1,8,Medium
PRETRIAL,1,African-American,481352131.0,22,Intake,English,Pretrial,Jail Inmate,Single,1412390765.0,2,8,Medium
PRETRIAL,1,Hispanic,3218284262.0,22,Intake,English,Pretrial,Jail Inmate,Married,1396361304.0,1,8,Low
Probation,1,Hispanic,196020336.0,22,Intake,English,Post Sentence,Probation,Single,1390315414.0,1,8,Low
Probation,1,African-American,784948782.0,22,Intake,English,Post Sentence,Probation,Single,1374123857.0,4,8,High
PRETRIAL,1,African-American,516212554.0,22,Intake,English,Pretrial,Jail Inmate,Single,1404985796.0,1,8,Low
PRETRIAL,1,African-American,822041502.0,22,Intake,English,Pretrial,Jail Inmate,Separated,1377887345.0,1,8,Low
PRETRIAL,1,African-American,847161822.0,22,Intake,English,Pretrial,Jail Inmate,Divorced,1357395040.0,1,8,Low
PRETRIAL,1,Caucasian,522046560.0,22,Intake,English,Pretrial,Jail Inmate,Single,1363928042.0,1,8,Medium
Probation,1,Caucasian,806506216.0,22,Intake,English,Post Sentence,Probation,Single,1392410777.0,2,8,Medium
PRETRIAL,1,African-American,655934147.0,22,Intake,English,Pretrial,Jail Inmate,Single,1393685618.0,3,8,Medium
Probation,1,African-American,1362885423.0,22,Intake,English,Post Sentence,Probation,Single,1372164719.0,3,8,High
PRETRIAL,1,African-American,323607159.0,22,Intake,English,Pretrial,Jail Inmate,Single,1403949052.0,1,8,Low
PRETRIAL,1,Caucasian,2739222846.0,22,Intake,English,Pretrial,Jail Inmate,Single,1399394063.0,1,8,Low
PRETRIAL,1,Caucasian,601543688.0,22,Intake,English,Post Sentence,Residential Program,Married,1363361817.0,3,8,High
PRETRIAL,1,Other,3241128654.0,22,Intake,English,Pretrial,Jail Inmate,Married,1366776483.0,1,8,Low
Probation,1,African-American,652583590.0,22,Intake,English,Post Sentence,Probation,Single,1397638781.0,3,8,High
PRETRIAL,1,African-American,606791601.0,22,Intake,English,Conditional Release,Prison Inmate,Widowed,1360204850.0,4,8,Low
PRETRIAL,1,African-American,328332859.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1407506692.0,3,8,High
PRETRIAL,1,Caucasian,637470099.0,22,Intake,English,Pretrial,Pretrial Defendant,Separated,1376986451.0,2,8,Medium
PRETRIAL,1,Hispanic,749969695.0,22,Intake,English,Other,Probation,Single,1383517875.0,1,8,Low
Probation,1,Caucasian,339589525.0,22,Intake,English,Post Sentence,Probation,Married,1371448798.0,1,8,Low
PRETRIAL,0,African-American,1118354917.0,22,Intake,English,Pretrial,Jail Inmate,Single,1357664040.0,2,8,Medium
PRETRIAL,0,African-American,656257527.0,22,Intake,English,Pretrial,Jail Inmate,Single,1364440768.0,1,8,Low
PRETRIAL,1,Hispanic,748987727.0,22,Intake,English,Pretrial,Jail Inmate,Single,1374558806.0,4,8,High
PRETRIAL,1,Caucasian,699576508.0,22,Intake,English,Parole Violator,Pretrial Defendant,Separated,1374811559.0,2,8,High
PRETRIAL,0,Native American,3064332430.0,22,Intake,English,Pretrial,Jail Inmate,Single,1360763758.0,1,8,Low
Probation,1,African-American,3237033375.0,22,Intake,English,Post Sentence,Probation,Single,1388567350.0,1,8,Low
Probation,1,Hispanic,660804227.0,22,Intake,English,Post Sentence,Probation,Married,1414204911.0,1,8,Low
DRRD,0,Caucasian,2558373995.0,22,Intake,English,Post Sentence,Probation,Single,1366998420.0,2,8,Medium
PRETRIAL,1,African-American,702272244.0,22,Intake,English,Pretrial,Jail Inmate,Single,1401893023.0,1,8,Low
Probation,1,Caucasian,2966577137.0,22,Intake,English,Post Sentence,Probation,Single,1402602831.0,1,8,Low
Probation,0,Caucasian,2838896267.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1398620307.0,1,8,Low
Probation,1,Caucasian,1914614009.0,22,Intake,Spanish,Post Sentence,Probation,Married,1397153857.0,1,8,Low
PRETRIAL,1,Caucasian,3004112571.0,22,Intake,English,Pretrial,Jail Inmate,Single,1407167498.0,1,8,Low
Probation,1,African-American,542368983.0,22,Intake,English,Post Sentence,Probation,Single,1372225510.0,1,8,Low
Probation,0,Other,343758566.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1362041200.0,1,8,Low
DRRD,0,Oriental,422141604.0,17,Intake,English,Probation Violator,Prison Inmate,Divorced,1392451336.0,1,8,High
Probation,1,African-American,531442782.0,22,Intake,English,Post Sentence,Probation,Single,1363321641.0,2,8,Medium
PRETRIAL,1,Caucasian,3189506886.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1419718891.0,1,8,Low
PRETRIAL,1,African-American,347485259.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1393186357.0,1,8,Low
PRETRIAL,0,Hispanic,552535021.0,22,Intake,English,Pretrial,Jail Inmate,Widowed,1371484861.0,1,8,Low
PRETRIAL,1,African-American,665570765.0,22,Intake,English,Pretrial,Jail Inmate,Single,1407853708.0,1,8,Low
PRETRIAL,0,African-American,388497784.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1400221654.0,3,8,High
PRETRIAL,1,Hispanic,606962511.0,22,Intake,English,Pretrial,Jail Inmate,Single,1377158587.0,1,8,Low
PRETRIAL,0,Caucasian,354283387.0,22,Intake,English,Pretrial,Jail Inmate,Single,1408117220.0,1,8,Low
PRETRIAL,1,Caucasian,324915858.0,22,Intake,English,Pretrial,Jail Inmate,Single,1365574077.0,1,8,Low
Probation,0,African-American,3149000688.0,22,Intake,English,Post Sentence,Probation,Married,1363552916.0,1,8,Low
PRETRIAL,1,African-American,840607550.0,22,Intake,English,Pretrial,Pretrial Defendant,Married,1364390602.0,3,8,High
PRETRIAL,1,Caucasian,676464000.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1410285510.0,4,8,High
Probation,1,African-American,845945655.0,22,Intake,English,Post Sentence,Probation,Single,1398338551.0,4,8,High
PRETRIAL,1,Caucasian,718784607.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1367727921.0,1,8,Low
PRETRIAL,1,Hispanic,739042514.0,22,Intake,English,Pretrial,Jail Inmate,Single,1404254184.0,1,8,Low
PRETRIAL,1,Hispanic,519834834.0,22,Intake,English,Pretrial,Jail Inmate,Single,1394250243.0,1,8,Low
PRETRIAL,1,Hispanic,648819138.0,22,Intake,English,Pretrial,Jail Inmate,Single,1417008650.0,2,8,Medium
PRETRIAL,1,African-American,3040004615.0,22,Intake,English,Pretrial,Jail Inmate,Single,1407453098.0,2,8,Medium
PRETRIAL,1,Caucasian,2936207193.0,22,Intake,English,Pretrial,Jail Inmate,Single,1389051713.0,1,8,Low
Probation,0,Hispanic,2946616257.0,22,Intake,English,Post Sentence,Probation,Widowed,1395656861.0,1,8,Low
Probation,0,Hispanic,412199898.0,22,Intake,English,Post Sentence,Probation,Married,1365125187.0,1,8,Low
PRETRIAL,1,African-American,155893936.0,22,Intake,English,Post Sentence,Probation,Single,1387043718.0,3,8,High
PRETRIAL,1,Other,3281812542.0,22,Intake,English,Pretrial,Jail Inmate,Married,1389422349.0,2,8,Medium
PRETRIAL,1,Caucasian,699472514.0,22,Intake,English,Pretrial,Jail Inmate,Single,1396771796.0,1,8,Low
Probation,1,Caucasian,612751178.0,22,Intake,English,Other,Probation,Divorced,1416492308.0,1,8,Low
PRETRIAL,1,African-American,714062076.0,22,Intake,English,Pretrial,Jail Inmate,Single,1415868856.0,1,8,Low
DRRD,1,African-American,2964257285.0,17,Intake,English,Pretrial,Residential Program,Single,1357072412.0,2,8,Medium
PRETRIAL,1,Caucasian,662981577.0,22,Intake,English,Pretrial,Jail Inmate,Single,1376212142.0,1,8,Low
Probation,1,African-American,548856354.0,22,Intake,English,Post Sentence,Probation,Single,1359174737.0,1,8,Medium
Probation,1,African-American,491685352.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1378398597.0,1,8,Low
PRETRIAL,1,Caucasian,317704787.0,22,Intake,English,Post Sentence,Jail Inmate,Divorced,1414996080.0,1,8,Medium
PRETRIAL,0,African-American,2448383963.0,22,Intake,English,Post Sentence,Probation,Single,1401764890.0,4,8,High
PRETRIAL,0,African-American,599953425.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1414761222.0,2,8,Medium
Probation,0,African-American,729395030.0,22,Intake,English,Post Sentence,Probation,Single,1400639004.0,2,8,Low
PRETRIAL,0,Caucasian,682945813.0,22,Intake,English,Pretrial,Pretrial Defendant,Married,1415540635.0,1,8,Low
PRETRIAL,0,African-American,3139549093.0,22,Intake,English,Post Sentence,Probation,Single,1403730914.0,2,8,Medium
PRETRIAL,1,Caucasian,2985097734.0,22,Intake,English,Other,Pretrial Defendant,Single,1370478032.0,1,8,Low
PRETRIAL,1,African-American,2910996448.0,22,Intake,English,Pretrial,Jail Inmate,Single,1365419983.0,1,8,Low
PRETRIAL,0,African-American,264078715.0,22,Intake,English,Pretrial,Pretrial Defendant,Married,1387203479.0,1,8,Low
DRRD,0,African-American,1432676548.0,17,Intake,Spanish,Pretrial,Pretrial Defendant,Married,1379357051.0,1,8,Low
PRETRIAL,1,Caucasian,280624127.0,22,Intake,Spanish,Conditional Release,Probation,Single,1412253388.0,2,8,High
PRETRIAL,1,African-American,615388318.0,22,Intake,English,Pretrial,Jail Inmate,Single,1405515666.0,1,8,Low
