Agency_Text,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,ScaleSet_ID,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,Screening_Date,RecSupervisionLevel,Scale_ID,ScoreText
PRETRIAL,0,Caucasian,-1246587813.0,17,Intake,English,Post Sentence,Residential Program,Single,1357387772.0,1,8,Medium
PRETRIAL,1,Hispanic,-619941169.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358480955.0,4,8,Medium
PRETRIAL,1,Caucasian,363650473.0,17,Intake,English,Post Sentence,Probation,Widowed,1358442432.0,2,8,Medium
PRETRIAL,1,Hispanic,396686261.0,22,Intake,English,Post Sentence,Residential Program,Single,1357419167.0,1,8,Medium
PRETRIAL,1,Oriental,-904107598.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358558838.0,1,8,Medium
PRETRIAL,0,Hispanic,298540969.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1359380303.0,1,8,Medium
PRETRIAL,0,African-American,373652946.0,17,Intake,English,Pretrial,Probation,Divorced,1359406291.0,1,8,Medium
PRETRIAL,1,Hispanic,47581516.0,17,Intake,English,Pretrial,Probation,Single,1357456018.0,1,8,Medium
PRETRIAL,1,African-American,10978927.0,22,Intake,English,Post Sentence,Jail Inmate,Single,1357457031.0,1,8,Low
Probation,1,African-American,-954297184.0,22,Intake,English,Post Sentence,Probation,Single,1359440696.0,3,8,Low
PRETRIAL,0,African-American,-2202066.0,17,Intake,English,Post Sentence,Jail Inmate,Divorced,1357493673.0,1,8,Medium
PRETRIAL,1,African-American,-910245997.0,17,Intake,English,Pretrial,Probation,Single,1357434489.0,3,8,Low
PRETRIAL,1,Hispanic,473121584.0,17,Intake,English,Pretrial,Residential Program,Single,1358415811.0,4,8,Medium
PRETRIAL,1,Hispanic,-951348859.0,22,Intake,English,Post Sentence,Jail Inmate,Widowed,1358607970.0,1,8,Medium
PRETRIAL,0,Caucasian,21623231.0,17,Intake,English,Post Sentence,Jail Inmate,Divorced,1357406707.0,4,8,Medium
PRETRIAL,1,Oriental,-683689208.0,22,Intake,English,Post Sentence,Jail Inmate,Widowed,1357449947.0,3,8,Medium
PRETRIAL,0,African-American,433408787.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357462364.0,4,8,Medium
PRETRIAL,0,Hispanic,-878660015.0,17,Intake,English,Post Sentence,Residential Program,Divorced,1358354142.0,3,8,Medium
PRETRIAL,1,Hispanic,-906913217.0,17,Intake,English,Post Sentence,Probation,Single,1358474871.0,1,8,Medium
PRETRIAL,1,Hispanic,373271504.0,17,Intake,English,Pretrial,Residential Program,Widowed,1359426839.0,1,8,Medium
PRETRIAL,0,Caucasian,-797386521.0,17,Intake,English,Pretrial,Jail Inmate,Single,1358509174.0,4,8,Medium
PRETRIAL,0,Hispanic,25368897.0,22,Intake,English,Post Sentence,Jail Inmate,Single,1358381277.0,1,8,Medium
PRETRIAL,1,Caucasian,-1225867724.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1358467491.0,2,8,Medium
PRETRIAL,1,Hispanic,438442116.0,22,Intake,English,Pretrial,Residential Program,Single,1357494721.0,2,8,Low
PRETRIAL,0,Caucasian,416659883.0,22,Intake,English,Pretrial,Residential Program,Single,1357417232.0,1,8,Medium
PRETRIAL,0,Caucasian,24135856.0,17,Intake,English,Pretrial,Residential Program,Divorced,1357429513.0,1,8,Medium
PRETRIAL,1,Hispanic,-1241804608.0,22,Intake,English,Post Sentence,Probation,Single,1357465168.0,1,8,Low
Probation,1,African-American,-943070898.0,17,Intake,English,Pretrial,Jail Inmate,Single,1357456653.0,1,8,Medium
PRETRIAL,1,African-American,396239297.0,17,Intake,English,Post Sentence,Residential Program,Single,1357406826.0,2,8,Medium
Probation,0,Hispanic,337095988.0,22,Intake,English,Post Sentence,Jail Inmate,Divorced,1358335336.0,1,8,Low
PRETRIAL,1,Hispanic,-894921280.0,22,Intake,English,Post Sentence,Jail Inmate,Widowed,1358289398.0,1,8,Low
PRETRIAL,0,African-American,-707392683.0,17,Intake,English,Pretrial,Jail Inmate,Divorced,1357418885.0,4,8,Medium
PRETRIAL,0,Asian,386253708.0,17,Intake,English,Probation Violator,Probation,Divorced,1359446310.0,4,8,Medium
PRETRIAL,1,Oriental,-266249694.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357465984.0,1,8,Medium
PRETRIAL,0,Hispanic,-1181374832.0,17,Intake,English,Post Sentence,Residential Program,Divorced,1357393184.0,1,8,Medium
PRETRIAL,0,Hispanic,59967680.0,17,Intake,English,Post Sentence,Residential Program,Widowed,1357376995.0,1,8,Medium
PRETRIAL,1,African-American,-875775440.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1359457375.0,4,8,Medium
PRETRIAL,1,African-American,-870034507.0,17,Intake,English,Post Sentence,Residential Program,Single,1357377317.0,1,8,Low
PRETRIAL,1,Caucasian,-764422767.0,17,Intake,English,Post Sentence,Residential Program,Single,1358382113.0,1,8,Medium
PRETRIAL,0,Hispanic,20524018.0,17,Intake,English,Post Sentence,Residential Program,Divorced,1358279485.0,4,8,Low
PRETRIAL,1,Hispanic,-1231400514.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1358458398.0,1,8,Medium
PRETRIAL,1,Hispanic,37493820.0,17,Intake,English,Pretrial,Residential Program,Single,1358384817.0,2,8,Medium
PRETRIAL,1,African-American,-315914253.0,17,Intake,English,Post Sentence,Residential Program,Single,1359386538.0,1,8,Medium
PRETRIAL,0,African-American,460632008.0,17,Intake,English,Post Sentence,Residential Program,Single,1358498264.0,2,8,Medium
PRETRIAL,1,African-American,-772006513.0,17,Intake,English,Post Sentence,Residential Program,Single,1357427190.0,1,8,Medium
PRETRIAL,1,African-American,-45997785.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357486043.0,1,8,Low
Probation,0,Hispanic,334728839.0,17,Intake,English,Post Sentence,Jail Inmate,Divorced,1358403606.0,1,8,Medium
PRETRIAL,1,Hispanic,474866243.0,22,Intake,English,Post Sentence,Probation,Separated,1357428764.0,3,8,Low
PRETRIAL,0,Hispanic,-902852071.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1359423575.0,1,8,Low
PRETRIAL,1,Oriental,11246177.0,17,Intake,English,Post Sentence,Residential Program,Widowed,1357396406.0,1,8,Medium
PRETRIAL,1,African-American,341987759.0,22,Intake,English,Post Sentence,Jail Inmate,Single,1359419914.0,3,8,Medium
PRETRIAL,1,Hispanic,-1169062251.0,17,Intake,English,Post Sentence,Jail Inmate,Divorced,1357497866.0,2,8,Medium
PRETRIAL,1,African-American,471483931.0,17,Intake,English,Pretrial,Residential Program,Widowed,1358470103.0,1,8,Medium
PRETRIAL,1,African-American,-880838568.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358424421.0,1,8,Medium
PRETRIAL,1,Hispanic,282440921.0,17,Intake,English,Pretrial,Residential Program,Divorced,1358553035.0,1,8,Medium
PRETRIAL,1,African-American,-693352589.0,22,Intake,English,Post Sentence,Jail Inmate,Divorced,1358284241.0,1,8,Medium
PRETRIAL,0,Hispanic,324078423.0,17,Intake,English,Post Sentence,Jail Inmate,Divorced,1358443046.0,1,8,Low
PRETRIAL,0,Caucasian,338886307.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357466401.0,2,8,Low
PRETRIAL,1,Hispanic,-875505735.0,22,Intake,English,Post Sentence,Jail Inmate,Single,1357460263.0,2,8,Medium
PRETRIAL,0,Hispanic,298996396.0,17,Intake,English,Pretrial,Probation,Widowed,1357432201.0,4,8,Medium
Probation,0,Hispanic,452374037.0,17,Intake,English,Pretrial,Jail Inmate,Widowed,1358256454.0,3,8,Medium
PRETRIAL,0,Hispanic,-950516621.0,17,Intake,English,Post Sentence,Residential Program,Single,1357489686.0,3,8,Medium
PRETRIAL,1,African-American,296670147.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1357425471.0,1,8,Medium
PRETRIAL,1,African-American,46695691.0,17,Intake,English,Post Sentence,Residential Program,Single,1359427617.0,1,8,Medium
PRETRIAL,0,Hispanic,411263934.0,22,Intake,English,Post Sentence,Probation,Divorced,1358251590.0,2,8,Medium
PRETRIAL,0,Caucasian,-878510988.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358393797.0,1,8,Low
Probation,0,African-American,-952219622.0,17,Intake,English,Post Sentence,Residential Program,Widowed,1359487570.0,3,8,Medium
PRETRIAL,0,African-American,-947505215.0,17,Intake,English,Post Sentence,Jail Inmate,Separated,1358440866.0,1,8,Low
Probation,1,Oriental,-890695277.0,17,Intake,English,Post Sentence,Probation,Widowed,1357465999.0,1,8,Medium
PRETRIAL,0,African-American,278613943.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358520322.0,2,8,Medium
PRETRIAL,1,Asian,333086803.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358543109.0,4,8,Medium
PRETRIAL,0,African-American,367725364.0,17,Intake,English,Post Sentence,Probation,Single,1358356452.0,1,8,Medium
PRETRIAL,1,Hispanic,-907540312.0,17,Intake,English,Pretrial,Residential Program,Widowed,1358479292.0,1,8,Medium
Probation,1,African-American,447129040.0,22,Intake,English,Post Sentence,Jail Inmate,Single,1358282118.0,1,8,Low
PRETRIAL,0,African-American,379748730.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357376993.0,3,8,Low
Probation,0,African-American,-278883420.0,22,Intake,English,Pretrial,Jail Inmate,Single,1358602794.0,1,8,Medium
PRETRIAL,1,Hispanic,336432918.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358522913.0,1,8,Medium
PRETRIAL,0,African-American,-284967912.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358475161.0,1,8,Medium
PRETRIAL,1,Hispanic,-922274562.0,17,Intake,English,Post Sentence,Probation,Widowed,1358336849.0,3,8,Medium
Probation,1,Hispanic,-924445665.0,17,Intake,English,Post Sentence,Probation,Single,1358272286.0,1,8,Medium
PRETRIAL,1,Oriental,-861549421.0,17,Intake,English,Post Sentence,Probation,Single,1357384073.0,1,8,Low
PRETRIAL,1,African-American,-958836704.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357490456.0,1,8,Low
PRETRIAL,1,African-American,379227293.0,17,Intake,English,Post Sentence,Jail Inmate,Divorced,1359453622.0,1,8,Medium
PRETRIAL,1,Hispanic,476027190.0,22,Intake,English,Pretrial,Jail Inmate,Single,1359456458.0,1,8,Medium
PRETRIAL,1,African-American,-737436374.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357431557.0,2,8,Low
PRETRIAL,0,African-American,-949819948.0,17,Intake,English,Pretrial,Jail Inmate,Single,1358395281.0,1,8,Medium
PRETRIAL,1,African-American,398696608.0,22,Intake,English,Post Sentence,Probation,Widowed,1357449655.0,1,8,Medium
PRETRIAL,0,African-American,-880073820.0,17,Intake,English,Pretrial,Residential Program,Divorced,1359410350.0,2,8,Medium
PRETRIAL,1,Caucasian,-41677091.0,17,Intake,English,Post Sentence,Residential Program,Single,1357475202.0,4,8,Low
PRETRIAL,0,African-American,-1269373970.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357466035.0,4,8,Medium
PRETRIAL,0,African-American,-918728844.0,17,Intake,English,Post Sentence,Residential Program,Single,1358505176.0,2,8,Medium
PRETRIAL,0,Caucasian,-24722994.0,22,Intake,English,Post Sentence,Residential Program,Widowed,1357491054.0,1,8,Medium
PRETRIAL,1,African-American,300736235.0,22,Intake,English,Post Sentence,Probation,Single,1358381030.0,1,8,Medium
PRETRIAL,1,Asian,-12426737.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1358387708.0,3,8,Medium
PRETRIAL,0,African-American,443660195.0,17,Intake,English,Pretrial,Jail Inmate,Single,1357410914.0,1,8,Medium
PRETRIAL,0,Caucasian,722228668.0,17,Intake,English,Post Sentence,Probation,Single,1358395373.0,1,8,Low
PRETRIAL,0,Hispanic,395578611.0,17,Intake,English,Post Sentence,Residential Program,Divorced,1359408304.0,4,8,Medium
Probation,1,Hispanic,-704599596.0,22,Intake,English,Post Sentence,Jail Inmate,Single,1358546336.0,1,8,Medium
PRETRIAL,0,African-American,381055537.0,17,Intake,English,Pretrial,Residential Program,Single,1358468623.0,4,8,Medium
PRETRIAL,0,Hispanic,-952187295.0,17,Intake,English,Post Sentence,Probation,Widowed,1357424942.0,1,8,Medium
Probation,0,Hispanic,375785451.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1359412526.0,4,8,Low
PRETRIAL,1,African-American,-323774351.0,22,Intake,English,Post Sentence,Probation,Widowed,1358438157.0,1,8,Medium
PRETRIAL,0,Hispanic,-925639403.0,17,Intake,English,Probation Violator,Jail Inmate,Widowed,1358300384.0,1,8,Medium
PRETRIAL,0,Hispanic,452385278.0,17,Intake,English,Post Sentence,Residential Program,Widowed,1358415413.0,4,8,Medium
Probation,1,Hispanic,-876201393.0,17,Intake,English,Pretrial,Jail Inmate,Widowed,1357487060.0,1,8,Low
PRETRIAL,0,African-American,59462867.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1357443200.0,1,8,Medium
Probation,1,African-American,394456112.0,22,Intake,English,Probation Violator,Jail Inmate,Single,1358624200.0,4,8,Medium
PRETRIAL,1,African-American,-275004740.0,22,Intake,English,Post Sentence,Residential Program,Single,1358473310.0,3,8,Medium
Probation,0,African-American,-862988727.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358573232.0,4,8,Medium
PRETRIAL,1,Hispanic,382979617.0,17,Intake,English,Pretrial,Residential Program,Single,1358534639.0,1,8,Low
PRETRIAL,0,Asian,-892907534.0,17,Intake,English,Pretrial,Probation,Single,1358587808.0,1,8,Medium
PRETRIAL,0,Hispanic,464114503.0,17,Intake,English,Post Sentence,Residential Program,Single,1357431357.0,1,8,Medium
Probation,0,Asian,412271342.0,17,Intake,English,Post Sentence,Residential Program,Single,1358466855.0,1,8,Medium
PRETRIAL,0,African-American,402829827.0,22,Intake,English,Post Sentence,Jail Inmate,Single,1358427065.0,1,8,Medium
PRETRIAL,1,African-American,-901090375.0,17,Intake,English,Pretrial,Jail Inmate,Divorced,1357436380.0,1,8,Low
PRETRIAL,1,Hispanic,319531032.0,17,Intake,English,Post Sentence,Probation,Divorced,1359381311.0,1,8,Medium
PRETRIAL,1,Oriental,704146907.0,17,Intake,English,Pretrial,Jail Inmate,Single,1357466942.0,2,8,Medium
PRETRIAL,1,African-American,-295718338.0,17,Intake,English,Pretrial,Residential Program,Widowed,1357378534.0,1,8,Low
PRETRIAL,0,Hispanic,-714258115.0,17,Intake,English,Post Sentence,Jail Inmate,Divorced,1358461761.0,4,8,Medium
PRETRIAL,1,African-American,-1213077401.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1357447153.0,4,8,Medium
Probation,0,Hispanic,326361480.0,17,Intake,English,Probation Violator,Probation,Single,1357471447.0,1,8,Low
Probation,1,African-American,409090701.0,22,Intake,English,Post Sentence,Jail Inmate,Single,1359415023.0,1,8,Low
Probation,0,Hispanic,-925784039.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1357460196.0,1,8,Medium
PRETRIAL,0,African-American,-876269958.0,17,Intake,English,Pretrial,Jail Inmate,Widowed,1358402425.0,1,8,Medium
PRETRIAL,1,Oriental,-318459614.0,22,Intake,English,Probation Violator,Residential Program,Divorced,1357440547.0,4,8,Medium
PRETRIAL,1,Hispanic,-904819693.0,17,Intake,English,Post Sentence,Residential Program,Widowed,1357416870.0,4,8,Medium
PRETRIAL,0,Hispanic,-961305220.0,17,Intake,English,Post Sentence,Probation,Single,1357496821.0,4,8,Medium
PRETRIAL,1,Hispanic,-783126258.0,17,Intake,English,Pretrial,Jail Inmate,Single,1357495995.0,1,8,Low
PRETRIAL,1,Caucasian,-927972212.0,22,Intake,English,Post Sentence,Residential Program,Divorced,1358402660.0,1,8,Low
PRETRIAL,0,Hispanic,-854832967.0,17,Intake,English,Pretrial,Jail Inmate,Single,1358447393.0,1,8,Medium
PRETRIAL,1,Hispanic,-727553206.0,17,Intake,English,Post Sentence,Residential Program,Single,1359419993.0,1,8,Medium
PRETRIAL,1,Caucasian,401741988.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1358497818.0,1,8,Medium
PRETRIAL,1,Hispanic,475212935.0,22,Intake,English,Post Sentence,Probation,Widowed,1359494545.0,1,8,Medium
PRETRIAL,0,African-American,-926291651.0,17,Intake,English,Pretrial,Jail Inmate,Divorced,1358449912.0,1,8,Low
Probation,1,African-American,406662128.0,17,Intake,English,Pretrial,Probation,Single,1358466692.0,1,8,Medium
PRETRIAL,0,Caucasian,-925572847.0,17,Intake,English,Post Sentence,Residential Program,Divorced,1357459596.0,3,8,Low
PRETRIAL,0,African-American,-246743086.0,17,Intake,English,Post Sentence,Probation,Single,1358420748.0,1,8,Low
PRETRIAL,1,African-American,-897282198.0,17,Intake,English,Post Sentence,Probation,Widowed,1357489042.0,3,8,Medium
PRETRIAL,1,Hispanic,-898587881.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357486924.0,2,8,Medium
PRETRIAL,1,Hispanic,347693767.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358292625.0,4,8,Low
PRETRIAL,1,Hispanic,-716513580.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358470114.0,2,8,Medium
Probation,1,Oriental,419701445.0,17,Intake,English,Post Sentence,Probation,Widowed,1358377619.0,1,8,Low
PRETRIAL,1,African-American,341017846.0,17,Intake,English,Pretrial,Jail Inmate,Divorced,1357476513.0,1,8,Medium
PRETRIAL,1,Hispanic,377154823.0,17,Intake,English,Post Sentence,Probation,Widowed,1357445007.0,4,8,Medium
PRETRIAL,1,African-American,-324500431.0,17,Intake,English,Post Sentence,Probation,Single,1357493545.0,4,8,Medium
PRETRIAL,1,Asian,411456169.0,17,Intake,English,Pretrial,Probation,Single,1358296701.0,4,8,Low
PRETRIAL,0,African-American,-937916112.0,17,Intake,English,Post Sentence,Jail Inmate,Divorced,1359457109.0,1,8,Medium
PRETRIAL,1,Hispanic,-896905924.0,17,Intake,English,Pretrial,Residential Program,Divorced,1358416946.0,1,8,Low
PRETRIAL,0,African-American,-820523985.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1359476787.0,1,8,Medium
PRETRIAL,0,Hispanic,-769333792.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358451736.0,2,8,Medium
Probation,0,Hispanic,-904041580.0,17,Intake,English,Pretrial,Probation,Widowed,1358374910.0,3,8,Medium
PRETRIAL,1,African-American,-301614469.0,22,Intake,English,Post Sentence,Residential Program,Single,1357374367.0,1,8,Medium
PRETRIAL,1,Hispanic,-921135125.0,17,Intake,English,Pretrial,Residential Program,Divorced,1359396354.0,2,8,Medium
PRETRIAL,0,Hispanic,449317766.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1358381942.0,1,8,Medium
PRETRIAL,1,Hispanic,-919490582.0,17,Intake,English,Pretrial,Jail Inmate,Single,1357390006.0,1,8,Medium
PRETRIAL,1,Hispanic,-688260851.0,17,Intake,English,Post Sentence,Probation,Divorced,1359495153.0,1,8,Low
PRETRIAL,0,Hispanic,-957766309.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358620602.0,4,8,Medium
PRETRIAL,1,Hispanic,-916695421.0,17,Intake,English,Pretrial,Jail Inmate,Single,1358436666.0,2,8,Medium
PRETRIAL,1,African-American,403709788.0,17,Intake,English,Pretrial,Probation,Single,1358495081.0,2,8,Low
PRETRIAL,0,Hispanic,290201607.0,17,Intake,English,Post Sentence,Residential Program,Single,1358479008.0,1,8,Low
PRETRIAL,1,African-American,-908222968.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1357471785.0,1,8,Medium
PRETRIAL,1,Oriental,15028184.0,17,Intake,English,Post Sentence,Residential Program,Widowed,1358470099.0,4,8,Low
PRETRIAL,0,African-American,434847708.0,22,Intake,English,Post Sentence,Residential Program,Widowed,1358274709.0,1,8,Medium
PRETRIAL,1,African-American,454846658.0,17,Intake,English,Post Sentence,Jail Inmate,Divorced,1357443003.0,1,8,Medium
PRETRIAL,1,African-American,-871507840.0,17,Intake,English,Pretrial,Jail Inmate,Single,1358429584.0,1,8,Low
PRETRIAL,0,Hispanic,324917051.0,17,Intake,English,Pretrial,Probation,Single,1357493229.0,1,8,Medium
Probation,0,African-American,306108830.0,17,Intake,English,Pretrial,Probation,Single,1358523538.0,3,8,Medium
Probation,1,Hispanic,425108652.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357395520.0,4,8,Medium
PRETRIAL,1,Hispanic,-260948862.0,17,Intake,English,Pretrial,Jail Inmate,Divorced,1358459022.0,2,8,Medium
PRETRIAL,0,Hispanic,-666330777.0,17,Intake,English,Post Sentence,Probation,Divorced,1358396199.0,4,8,Low
PRETRIAL,0,Hispanic,460713024.0,17,Intake,English,Pretrial,Residential Program,Divorced,1357388028.0,3,8,Medium
PRETRIAL,1,Oriental,396370346.0,17,Intake,English,Pretrial,Jail Inmate,Widowed,1358314331.0,1,8,Medium
PRETRIAL,0,Oriental,67803151.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358852126.0,1,8,Medium
PRETRIAL,0,Hispanic,-897350114.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1359454520.0,4,8,Low
PRETRIAL,1,Hispanic,385598619.0,17,Intake,English,Post Sentence,Probation,Single,1357468796.0,1,8,Medium
PRETRIAL,0,Caucasian,-681732080.0,17,Intake,English,Post Sentence,Probation,Divorced,1357407534.0,2,8,Medium
PRETRIAL,1,African-American,-860899740.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358412180.0,1,8,Low
PRETRIAL,1,Hispanic,-715091602.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357427948.0,1,8,Medium
Probation,0,Oriental,446915312.0,22,Intake,English,Pretrial,Jail Inmate,Divorced,1358625893.0,1,8,Medium
PRETRIAL,1,Hispanic,-723916340.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1358466421.0,2,8,Medium
PRETRIAL,1,African-American,-1249718960.0,17,Intake,English,Pretrial,Jail Inmate,Widowed,1358495027.0,3,8,Low
PRETRIAL,1,African-American,38734558.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358443864.0,4,8,Medium
