Agency_Text,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,ScaleSet_ID,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,Screening_Date,RecSupervisionLevel,Scale_ID,ScoreText
PRETRIAL,1,Caucasian,474163200,22,Intake,English,Pretrial,Jail Inmate,Single,1419811200,3,8,High
PRETRIAL,1,African-American,788054400,22,Intake,English,Pretrial,Jail Inmate,Single,1402012800,2,8,Low
Probation,1,Caucasian,2937600,22,Intake,English,Post Sentence,Probation,Divorced,1384992000,1,8,Low
PRETRIAL,1,African-American,410659200,22,Intake,English,Pretrial,Jail Inmate,Single,1397606400,3,8,High
PRETRIAL,1,Caucasian,776044800,22,Intake,English,Pretrial,Jail Inmate,Single,1358899200,2,8,Low
PRETRIAL,1,African-American,606614400,17,Intake,English,Post Sentence,Probation,Single,1364860800,4,8,High
Probation,1,Caucasian,-187833600,22,Intake,English,Post Sentence,Probation,Single,1411516800,1,8,Low
PRETRIAL,1,Caucasian,649814400,22,Intake,English,Pretrial,Jail Inmate,Single,1384300800,3,8,High
PRETRIAL,1,African-American,500774400,22,Intake,English,Pretrial,Jail Inmate,Single,1361318400,2,8,Medium
PRETRIAL,0,Caucasian,641433600,22,Intake,English,Pretrial,Jail Inmate,Single,1369180800,1,8,Low
PRETRIAL,1,Caucasian,620524800,22,Intake,English,Pretrial,Jail Inmate,Single,1379289600,1,8,Low
PRETRIAL,0,Caucasian,-206496000,22,Intake,English,Pretrial,Jail Inmate,Single,1369267200,2,8,Medium
PRETRIAL,1,African-American,-148435200,22,Intake,English,Post Sentence,Probation,Single,1380672000,1,8,Low
Probation,0,Caucasian,-237600000,22,Intake,English,Post Sentence,Probation,Divorced,1384300800,1,8,Low
PRETRIAL,1,Asian,546307200,22,Intake,English,Pretrial,Jail Inmate,Single,1357171200,3,8,High
PRETRIAL,1,African-American,68688000,22,Intake,English,Pretrial,Pretrial Defendant,Single,1375660800,1,8,Medium
PRETRIAL,1,African-American,80092800,22,Intake,English,Pretrial,Jail Inmate,Significant Other,1364169600,2,8,Medium
PRETRIAL,1,African-American,213062400,22,Intake,English,Pretrial,Jail Inmate,Single,1379376000,1,8,Low
PRETRIAL,1,Caucasian,602985600,22,Intake,English,Pretrial,Pretrial Defendant,Single,1373241600,2,8,Medium
PRETRIAL,1,Caucasian,513734400,22,Intake,English,Pretrial,Jail Inmate,Single,1402099200,1,8,Medium
PRETRIAL,1,African-American,792201600,22,Intake,English,Pretrial,Jail Inmate,Single,1394409600,3,8,Low
PRETRIAL,1,African-American,-807580800,22,Intake,English,Pretrial,Jail Inmate,Divorced,1368748800,1,8,Low
PRETRIAL,1,African-American,-357609600,22,Intake,English,Pretrial,Pretrial Defendant,Married,1401321600,1,8,Low
PRETRIAL,1,African-American,57801600,22,Intake,English,Pretrial,Jail Inmate,Single,1419379200,3,8,High
PRETRIAL,1,Hispanic,24796800,22,Intake,English,Pretrial,Jail Inmate,Divorced,1393113600,1,8,Low
PRETRIAL,1,African-American,144374400,22,Intake,English,Pretrial,Jail Inmate,Single,1411689600,3,8,Medium
PRETRIAL,1,Caucasian,617846400,22,Intake,English,Pretrial,Jail Inmate,Single,1372809600,1,8,Low
PRETRIAL,0,African-American,146102400,22,Intake,English,Pretrial,Jail Inmate,Separated,1400630400,2,8,Medium
Probation,1,Caucasian,787708800,22,Intake,English,Post Sentence,Probation,Single,1380153600,2,8,Medium
PRETRIAL,0,Caucasian,-263865600,22,Intake,English,Post Sentence,Probation,Single,1360540800,1,8,Low
PRETRIAL,1,African-American,-354585600,22,Intake,English,Pretrial,Jail Inmate,Significant Other,1382400000,2,8,Medium
PRETRIAL,0,Caucasian,375840000,22,Intake,English,Pretrial,Jail Inmate,Single,1360195200,2,8,Medium
PRETRIAL,1,African-American,-289699200,22,Intake,English,Post Sentence,Probation,Single,1360627200,2,8,Medium
PRETRIAL,0,African-American,695692800,22,Intake,English,Pretrial,Jail Inmate,Single,1417564800,1,8,Low
PRETRIAL,1,Caucasian,365817600,22,Intake,English,Pretrial,Jail Inmate,Single,1382486400,1,8,Low
Probation,1,Caucasian,414028800,22,Intake,English,Post Sentence,Probation,Single,1384646400,1,8,Low
PRETRIAL,1,African-American,825984000,22,Intake,English,Pretrial,Jail Inmate,Single,1398816000,2,8,Medium
PRETRIAL,1,Caucasian,532569600,22,Intake,English,Pretrial,Pretrial Defendant,Divorced,1397088000,2,8,Medium
PRETRIAL,0,African-American,-260582400,22,Intake,English,Pretrial,Pretrial Defendant,Single,1387843200,3,8,High
Probation,0,Caucasian,459648000,22,Intake,English,Post Sentence,Probation,Single,1358208000,1,8,Low
Probation,0,Caucasian,-245030400,22,Intake,English,Post Sentence,Probation,Single,1407715200,1,8,Low
Probation,1,Hispanic,629078400,22,Intake,English,Post Sentence,Probation,Single,1408924800,3,8,High
PRETRIAL,1,Caucasian,685497600,22,Intake,English,Post Sentence,Probation,Single,1384819200,3,8,High
PRETRIAL,1,African-American,-695520000,22,Intake,English,Post Sentence,Probation,Single,1394582400,1,8,Medium
PRETRIAL,1,African-American,321494400,22,Intake,English,Pretrial,Jail Inmate,Single,1359849600,2,8,Medium
PRETRIAL,0,African-American,749347200,22,Intake,English,Pretrial,Pretrial Defendant,Single,1382572800,2,8,Medium
Probation,1,African-American,-9763200,22,Intake,English,Post Sentence,Probation,Single,1402358400,1,8,Low
PRETRIAL,1,African-American,312422400,22,Intake,English,Pretrial,Pretrial Defendant,Single,1387324800,3,8,High
PRETRIAL,1,Hispanic,194486400,22,Intake,English,Pretrial,Jail Inmate,Unknown,1379808000,1,8,Medium
Probation,0,African-American,75168000,22,Intake,English,Post Sentence,Probation,Single,1402444800,1,8,Low
Probation,0,African-American,726969600,22,Intake,English,Pretrial,Jail Inmate,Single,1358121600,3,8,High
Probation,1,African-American,-94435200,22,Intake,English,Post Sentence,Probation,Single,1380067200,3,8,High
PRETRIAL,0,Native American,-529372800,22,Intake,English,Post Sentence,Probation,Single,1400716800,1,8,Medium
PRETRIAL,1,African-American,-408326400,22,Intake,English,Pretrial,Jail Inmate,Married,1384732800,1,8,Low
Probation,1,African-American,572745600,22,Intake,English,Pretrial,Pretrial Defendant,Single,1362614400,3,8,High
PRETRIAL,1,Caucasian,578620800,22,Intake,English,Pretrial,Pretrial Defendant,Single,1386201600,1,8,Low
Probation,1,African-American,502675200,22,Intake,English,Pretrial,Jail Inmate,Single,1383955200,3,8,High
PRETRIAL,1,African-American,456451200,22,Intake,English,Pretrial,Jail Inmate,Single,1386374400,3,8,High
PRETRIAL,1,African-American,728265600,22,Intake,English,Pretrial,Jail Inmate,Single,1383091200,1,8,Low
PRETRIAL,0,African-American,677635200,22,Intake,English,Pretrial,Jail Inmate,Single,1410480000,3,8,High
PRETRIAL,1,Caucasian,239155200,22,Intake,English,Pretrial,Jail Inmate,Single,1417651200,1,8,Low
PRETRIAL,0,African-American,275961600,22,Intake,English,Pretrial,Jail Inmate,Single,1358985600,1,8,Low
Probation,1,Caucasian,481075200,22,Intake,English,Post Sentence,Probation,Single,1377475200,1,8,Low
PRETRIAL,1,Caucasian,-212112000,22,Intake,English,Pretrial,Jail Inmate,Single,1366502400,1,8,Low
PRETRIAL,1,African-American,521251200,22,Intake,English,Pretrial,Jail Inmate,Single,1369440000,1,8,Low
Probation,1,Hispanic,27820800,22,Intake,English,Pretrial,Pretrial Defendant,Single,1367020800,1,8,Low
PRETRIAL,1,African-American,634608000,22,Intake,English,Post Sentence,Probation,Single,1369094400,1,8,Low
Probation,1,African-American,803174400,22,Intake,English,Pretrial,Jail Inmate,Single,1413244800,2,8,Medium
Probation,1,Caucasian,775094400,22,Intake,English,Post Sentence,Probation,Single,1378944000,3,8,High
Probation,0,African-American,163641600,22,Intake,English,Post Sentence,Probation,Single,1394496000,1,8,Low
Probation,0,Caucasian,419472000,22,Intake,English,Post Sentence,Probation,Single,1360195200,1,8,Low
PRETRIAL,1,African-American,350524800,22,Intake,English,Pretrial,Jail Inmate,Single,1357344000,3,8,High
PRETRIAL,1,Hispanic,631065600,22,Intake,English,Pretrial,Jail Inmate,Single,1362700800,4,8,High
PRETRIAL,0,Caucasian,40521600,22,Intake,English,Pretrial,Jail Inmate,Single,1396137600,1,8,Low
PRETRIAL,1,African-American,799718400,22,Intake,English,Pretrial,Pretrial Defendant,Single,1395878400,1,8,Low
PRETRIAL,1,African-American,581644800,22,Intake,English,Pretrial,Pretrial Defendant,Single,1410220800,2,8,Medium
PRETRIAL,1,African-American,708652800,22,Intake,English,Pretrial,Jail Inmate,Single,1377820800,1,8,Low
PRETRIAL,1,African-American,496108800,22,Intake,English,Pretrial,Jail Inmate,Single,1380326400,3,8,High
PRETRIAL,1,Caucasian,817862400,22,Intake,English,Pretrial,Pretrial Defendant,Single,1388361600,2,8,Low
Probation,1,Hispanic,517449600,22,Intake,English,Post Sentence,Probation,Single,1415750400,1,8,Low
PRETRIAL,1,African-American,-383097600,22,Intake,English,Pretrial,Jail Inmate,Single,1380672000,1,8,Low
Probation,1,Hispanic,341539200,22,Intake,English,Other,Probation,Single,1390953600,1,8,Low
PRETRIAL,1,African-American,150076800,22,Intake,English,Pretrial,Pretrial Defendant,Single,1385510400,2,8,Medium
Probation,1,African-American,594000000,22,Intake,English,Post Sentence,Probation,Single,1375401600,1,8,Low
PRETRIAL,1,Caucasian,796608000,22,Intake,English,Pretrial,Jail Inmate,Single,1414627200,2,8,Low
Probation,1,Caucasian,-210729600,22,Intake,English,Other,Probation,Single,1358985600,1,8,Low
PRETRIAL,1,Caucasian,-58665600,22,Intake,English,Pretrial,Jail Inmate,Divorced,1385510400,1,8,Low
Probation,1,Caucasian,-150422400,22,Intake,English,Post Sentence,Probation,Single,1368662400,1,8,Low
PRETRIAL,1,Caucasian,614649600,22,Intake,English,Pretrial,Jail Inmate,Significant Other,1376611200,1,8,Low
Probation,1,African-American,786240000,22,Intake,English,Post Sentence,Probation,Single,1363737600,3,8,High
PRETRIAL,0,African-American,747100800,22,Intake,English,Pretrial,Jail Inmate,Single,1407369600,1,8,Medium
PRETRIAL,1,African-American,-531792000,22,Intake,English,Pretrial,Pretrial Defendant,Single,1361923200,1,8,Low
PRETRIAL,1,Caucasian,-344908800,22,Intake,English,Pretrial,Pretrial Defendant,Single,1388966400,1,8,Low
PRETRIAL,1,African-American,756518400,22,Intake,English,Other,Probation,Single,1393545600,4,8,High
PRETRIAL,1,Hispanic,865987200,17,Intake,English,Pretrial,Pretrial Defendant,Single,1398297600,4,8,High
PRETRIAL,1,Caucasian,467942400,22,Intake,English,Post Sentence,Probation,Single,1366761600,1,8,Low
PRETRIAL,1,Caucasian,436147200,22,Intake,English,Pretrial,Jail Inmate,Single,1365897600,2,8,Medium
PRETRIAL,1,Other,404956800,22,Intake,English,Pretrial,Jail Inmate,Single,1390521600,1,8,Low
PRETRIAL,1,African-American,673488000,22,Intake,English,Pretrial,Jail Inmate,Single,1405555200,2,8,Medium
PRETRIAL,1,African-American,93052800,22,Intake,English,Pretrial,Pretrial Defendant,Single,1414627200,2,8,Medium
Probation,0,Caucasian,-332899200,22,Intake,English,Post Sentence,Probation,Married,1380240000,1,8,Low
PRETRIAL,0,Hispanic,-397180800,22,Intake,English,Pretrial,Jail Inmate,Single,1414540800,1,8,Low
PRETRIAL,1,Other,484444800,22,Intake,English,Pretrial,Jail Inmate,Single,1382400000,1,8,Medium
Probation,1,Caucasian,-296611200,22,Intake,English,Other,Probation,Single,1372723200,1,8,Low
PRETRIAL,1,African-American,760665600,22,Intake,English,Pretrial,Jail Inmate,Single,1403222400,1,8,Low
Broward County,0,Caucasian,184982400,22,Intake,English,Pretrial,Pretrial Defendant,Single,1395100800,2,8,Medium
PRETRIAL,1,Hispanic,355968000,22,Intake,English,Pretrial,Pretrial Defendant,Single,1392249600,1,8,Low
PRETRIAL,1,Caucasian,625449600,22,Intake,English,Post Sentence,Probation,Single,1377129600,4,8,High
PRETRIAL,1,African-American,51667200,22,Intake,English,Pretrial,Jail Inmate,Single,1381276800,3,8,High
PRETRIAL,1,Caucasian,-322012800,22,Intake,English,Pretrial,Pretrial Defendant,Single,1386633600,1,8,Low
PRETRIAL,1,Other,-511574400,22,Intake,English,Pretrial,Jail Inmate,Widowed,1376870400,1,8,Low
PRETRIAL,1,Caucasian,221875200,22,Intake,English,Pretrial,Jail Inmate,Single,1366156800,3,8,High
PRETRIAL,1,African-American,686361600,22,Intake,English,Pretrial,Jail Inmate,Married,1380499200,1,8,Low
Probation,1,Caucasian,-237340800,22,Intake,English,Post Sentence,Probation,Married,1405036800,1,8,Low
PRETRIAL,1,Other,604886400,22,Intake,English,Pretrial,Jail Inmate,Significant Other,1367280000,1,8,Medium
PRETRIAL,1,Caucasian,500947200,22,Intake,English,Pretrial,Jail Inmate,Married,1415318400,1,8,Low
PRETRIAL,1,African-American,685670400,22,Intake,English,Pretrial,Jail Inmate,Single,1361232000,2,8,Medium
PRETRIAL,1,Caucasian,208742400,22,Intake,English,Pretrial,Jail Inmate,Single,1419292800,1,8,Low
Probation,0,Caucasian,493344000,22,Intake,English,Other,Probation,Separated,1385337600,1,8,Low
PRETRIAL,1,African-American,550800000,22,Intake,English,Pretrial,Jail Inmate,Single,1376006400,3,8,Medium
Probation,1,African-American,420854400,22,Intake,English,Post Sentence,Probation,Married,1405900800,1,8,Low
Probation,0,Hispanic,585360000,22,Intake,English,Post Sentence,Probation,Single,1416355200,2,8,Medium
Probation,1,Caucasian,-316742400,22,Intake,English,Post Sentence,Probation,Divorced,1416441600,1,8,Low
PRETRIAL,1,Caucasian,-348710400,22,Intake,English,Pretrial,Jail Inmate,Married,1405900800,1,8,Low
Probation,0,African-American,621734400,22,Intake,English,Post Sentence,Probation,Single,1402272000,2,8,Medium
Probation,1,Hispanic,578534400,17,Intake,English,Conditional Release,Probation,Married,1368144000,1,8,Low
Probation,1,Hispanic,268963200,22,Intake,English,Post Sentence,Probation,Single,1358294400,2,8,Medium
PRETRIAL,1,African-American,519523200,22,Intake,English,Pretrial,Jail Inmate,Single,1394150400,1,8,Low
PRETRIAL,1,Hispanic,405993600,22,Intake,English,Pretrial,Jail Inmate,Single,1391731200,1,8,Low
Probation,1,Caucasian,41644800,22,Intake,English,Post Sentence,Probation,Single,1396224000,2,8,Medium
PRETRIAL,1,African-American,279331200,22,Intake,English,Pretrial,Jail Inmate,Single,1395360000,1,8,Low
Probation,1,Caucasian,125280000,22,Intake,English,Other,Probation,Single,1381708800,2,8,Medium
PRETRIAL,0,Caucasian,635731200,22,Intake,English,Pretrial,Jail Inmate,Single,1360195200,2,8,Medium
PRETRIAL,1,African-American,582681600,22,Intake,English,Pretrial,Jail Inmate,Single,1396396800,4,8,High
PRETRIAL,1,Other,316137600,22,Intake,English,Post Sentence,Probation,Single,1400198400,1,8,Low
PRETRIAL,0,African-American,-327628800,22,Intake,English,Pretrial,Jail Inmate,Separated,1384646400,1,8,Low
Probation,0,Hispanic,551577600,22,Intake,English,Post Sentence,Probation,Divorced,1365638400,1,8,Low
Probation,0,Caucasian,-180144000,22,Intake,English,Post Sentence,Probation,Separated,1392984000,1,8,Low
Probation,1,Caucasian,-361497600,22,Intake,English,Post Sentence,Probation,Single,1409788800,1,8,Low
PRETRIAL,1,African-American,318124800,22,Intake,English,Pretrial,Jail Inmate,Single,1362700800,4,8,High
PRETRIAL,1,Caucasian,749088000,22,Intake,English,Pretrial,Jail Inmate,Single,1376265600,2,8,Medium
PRETRIAL,1,Hispanic,509500800,22,Intake,English,Pretrial,Jail Inmate,Single,1386633600,1,8,Low
PRETRIAL,1,African-American,670118400,22,Intake,English,Pretrial,Jail Inmate,Single,1405814400,3,8,High
PRETRIAL,1,African-American,729993600,22,Intake,English,Pretrial,Jail Inmate,Single,1358121600,4,8,High
PRETRIAL,1,African-American,80092800,22,Intake,English,Pretrial,Jail Inmate,Single,1364428800,1,8,Medium
PRETRIAL,0,African-American,100915200,22,Intake,English,Pretrial,Jail Inmate,Single,1397520000,1,8,Low
PRETRIAL,0,Caucasian,373248000,22,Intake,English,Pretrial,Jail Inmate,Divorced,1403568000,1,8,Low
Probation,1,African-American,741916800,22,Intake,English,Post Sentence,Probation,Single,1369180800,3,8,High
PRETRIAL,1,Caucasian,-233971200,22,Intake,English,Post Sentence,Probation,Single,1386288000,1,8,Low
PRETRIAL,1,Hispanic,350265600,22,Intake,English,Pretrial,Jail Inmate,Single,1410652800,1,8,Low
Probation,1,Hispanic,390528000,22,Intake,English,Post Sentence,Probation,Single,1383177600,1,8,Low
Probation,1,Caucasian,423792000,22,Intake,English,Post Sentence,Probation,Single,1404691200,3,8,High
PRETRIAL,1,African-American,685238400,22,Intake,English,Pretrial,Jail Inmate,Single,1391644800,1,8,Medium
Probation,0,Native American,429062400,22,Intake,English,Other,Probation,Single,1395360000,1,8,Medium
Probation,1,African-American,-197510400,22,Intake,English,Post Sentence,Probation,Single,1374192000,1,8,Low
PRETRIAL,1,African-American,-230860800,22,Intake,English,Pretrial,Jail Inmate,Single,1360800000,3,8,High
PRETRIAL,1,Caucasian,502243200,22,Intake,English,Pretrial,Pretrial Defendant,Single,1389312000,3,8,High
